system,scenario,procedure,n,metric,estimate,mcse,B,status
ising,S0,welch,80,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,welch,80,typeI,0.058,0.005227,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,welch,80,alt_coverage,0.9415,0.005248,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,welch,80,null_coverage,0.942,0.005227,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,paired_t,10,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,paired_t,10,typeI,0.0605,0.005331,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,paired_t,10,alt_coverage,0.936,0.005473,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,paired_t,10,null_coverage,0.9395,0.005331,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,welch,10,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,welch,10,typeI,0.075,0.00589,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,welch,10,alt_coverage,0.9275,0.005798,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,welch,10,null_coverage,0.925,0.00589,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,paired_t,20,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,paired_t,20,typeI,0.0675,0.00561,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,paired_t,20,alt_coverage,0.9315,0.005648,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,paired_t,20,null_coverage,0.9325,0.00561,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,welch,20,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,welch,20,typeI,0.0615,0.005372,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,welch,20,alt_coverage,0.9395,0.005331,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,welch,20,null_coverage,0.9385,0.005372,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,paired_t,40,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,paired_t,40,typeI,0.055,0.005098,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,paired_t,40,alt_coverage,0.945,0.005098,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,paired_t,40,null_coverage,0.945,0.005098,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,welch,40,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,welch,40,typeI,0.053,0.00501,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,welch,40,alt_coverage,0.9495,0.004896,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,welch,40,null_coverage,0.947,0.00501,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,paired_t,80,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,paired_t,80,typeI,0.05,0.004873,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
